,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,filename-place,filename-power,filename-spreadfactor,filename-testcount,txInfo-frequency,txInfo-dataRate-modulation,txInfo-dataRate-bandwidth,txInfo-dataRate-spreadFactor,txInfo-dataRate-bitrate,txInfo-codeRate,rxInfo-mac,rxInfo-time,rxInfo-timeSinceGPSEpoch,rxInfo-timestamp,rxInfo-rssi,rxInfo-loRaSNR,rxInfo-board,rxInfo-antenna,,,,,,,,,,,,,,,,
1,10,1,10,1,923200000,LORA,125,12,0,4/5,00800000a0000a1c,2021-10-18T07:44:40.928013Z,,3343850964,-97,-15,0,0,,,,,,,,,,,,,,,,
2,10,1,10,2,924000000,LORA,125,12,0,4/5,00800000a0000a1c,2021-10-18T07:44:48.263492Z,,3351181636,-96,-16,0,0,,,,,,,,,,,,,,,,
3,10,1,10,3,923200000,LORA,125,12,0,4/5,00800000a0000a1c,2021-10-18T07:44:55.617504Z,,3358537148,-100,-17.8,0,0,,,,,,,,,,,,,,,,
4,10,1,10,4,924200000,LORA,125,12,0,4/5,00800000a000151a,2021-10-18T07:16:13.207616Z,,1298821100,-97,8.5,0,0,,,,,,,,,,,,,,,,
5,10,1,10,5,923200000,LORA,125,12,0,4/5,00800000a0000a1c,2021-10-18T07:45:10.434627Z,,3373367036,-96,-12.2,0,0,,,,,,,,,,,,,,,,
6,10,1,7,1,924400000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T07:14:23.019608Z,,1188657484,-85,12,0,0,,,,,,,,,,,,,,,,
7,10,1,7,2,924200000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T07:14:26.110695Z,,1191749692,-84,11,0,0,,,,,,,,,,,,,,,,
8,10,1,7,3,924400000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T07:14:33.923679Z,,1199568492,-89,9.8,0,0,,,,,,,,,,,,,,,,
9,10,1,7,4,924400000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T07:14:37.930038Z,,1203569228,-90,10.5,0,0,00800000a0000a1c,2021-10-18T07:43:27.773497Z,,3270721516.0,-99.0,-10.8,0.0,0.0,,,,,,,,
10,10,1,7,5,924000000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T07:14:41.040646Z,,1206674940,-89,12,0,0,,,,,,,,,,,,,,,,
11,10,1,8,1,924600000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T07:14:45.350083Z,,1210989724,-82,7.2,0,0,,,,,,,,,,,,,,,,
12,10,1,8,2,924400000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T07:14:50.113935Z,,1215742988,-84,8,0,0,00800000a0000a1c,2021-10-18T07:43:39.945377Z,,3282895300.0,-94.0,-12.2,0.0,0.0,,,,,,,,
13,10,1,8,3,923200000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T07:14:54.595309Z,,1220237788,-83,8,0,0,00800000a0000a1c,2021-10-18T07:43:44.439123Z,,3287390116.0,-92.0,-3.8,0.0,0.0,00800000a0000ed1,2021-10-18T07:34:29.536011Z,,2309813516.0,-95.0,-15.0,0.0,0.0
14,10,1,8,4,923200000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T07:14:59.100197Z,,1224736516,-80,8.5,0,0,00800000a0000a1c,2021-10-18T07:43:48.937742Z,,3291888844.0,-94.0,-4.8,0.0,0.0,,,,,,,,
15,10,1,8,5,923800000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T07:15:05.206067Z,,1230836988,-82,11,0,0,,,,,,,,,,,,,,,,
16,10,1,9,1,923600000,LORA,125,11,0,4/5,00800000a000151a,2021-10-18T07:15:10.346508Z,,1235976716,-85,9.2,0,0,00800000a0000a1c,2021-10-18T07:44:00.18424Z,,3303129068.0,-96.0,-9.5,0.0,0.0,,,,,,,,
17,10,1,9,2,923600000,LORA,125,11,0,4/5,00800000a000151a,2021-10-18T07:15:18.714098Z,,1244344516,-84,8.8,0,0,00800000a0000a1c,2021-10-18T07:44:08.559998Z,,3311496892.0,-94.0,-11.5,0.0,0.0,,,,,,,,
18,10,1,9,3,923200000,LORA,125,11,0,4/5,00800000a000151a,2021-10-18T07:15:27.036731Z,,1252670956,-83,10,0,0,00800000a0000a1c,2021-10-18T07:44:16.887622Z,,3319823348.0,-97.0,-5.5,0.0,0.0,00800000a0000ed1,2021-10-18T07:35:01.979401Z,,2342246740.0,-95.0,-15.8,0.0,0.0
19,10,1,9,4,923600000,LORA,125,11,0,4/5,00800000a000151a,2021-10-18T07:15:32.4647Z,,1258094828,-90,9,0,0,00800000a0000a1c,2021-10-18T07:44:22.312626Z,,3325247236.0,-96.0,-10.5,0.0,0.0,,,,,,,,
20,10,1,9,5,923400000,LORA,125,11,0,4/5,00800000a000151a,2021-10-18T07:15:37.906316Z,,1263537756,-82,10,0,0,,,,,,,,,,,,,,,,
21,10,2,10,1,923200000,LORA,125,12,0,4/5,00800000a000151a,2021-10-18T07:19:17.061952Z,,1482676604,-107,9.2,0,0,00800000a0000a1c,2021-10-18T07:48:06.903005Z,,3549829508.0,-100.0,-4.5,0.0,0.0,,,,,,,,
22,10,2,10,2,924200000,LORA,125,12,0,4/5,00800000a0000a1c,2021-10-18T07:48:14.260754Z,,3557194428,-92,-16.8,0,0,,,,,,,,,,,,,,,,
23,10,2,10,3,924400000,LORA,125,12,0,4/5,00800000a0000ed1,2021-10-18T07:39:12.67002Z,,2592930844,-105,-13.8,0,0,,,,,,,,,,,,,,,,
24,10,2,10,4,923200000,LORA,125,12,0,4/5,00800000a0000a1c,2021-10-18T07:48:38.465752Z,,3581390092,-89,-8,0,0,,,,,,,,,,,,,,,,
25,10,2,10,5,923600000,LORA,125,12,0,4/5,00800000a0000ed1,2021-10-18T07:39:34.557403Z,,2614812044,-100,-13,0,0,,,,,,,,,,,,,,,,
26,10,2,7,1,923200000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T07:16:31.510195Z,,1317153860,-95,9,0,0,,,,,,,,,,,,,,,,
27,10,2,7,2,923400000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T07:16:43.962706Z,,1329595396,-85,11.5,0,0,,,,,,,,,,,,,,,,
28,10,2,7,3,923200000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T07:16:47.012434Z,,1332654516,-93,10,0,0,,,,,,,,,,,,,,,,
29,10,2,7,4,924400000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T07:16:50.103188Z,,1335747620,-95,6.2,0,0,,,,,,,,,,,,,,,,
30,10,2,7,5,923600000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T07:17:12.54814Z,,1358185228,-96,6.2,0,0,,,,,,,,,,,,,,,,
31,10,2,8,1,924200000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T07:17:21.653944Z,,1367290860,-88,9.5,0,0,,,,,,,,,,,,,,,,
32,10,2,8,2,923400000,LORA,125,10,0,4/5,00800000a0000a1c,2021-10-18T07:46:26.11975Z,,3449068916,-94,-11.5,0,0,,,,,,,,,,,,,,,,
33,10,2,8,3,924600000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T07:17:40.149069Z,,1385790612,-96,6.5,0,0,00800000a0000a1c,2021-10-18T07:46:29.988872Z,,3452943308.0,-95.0,-7.5,0.0,0.0,,,,,,,,
34,10,2,8,4,924000000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T07:17:48.912696Z,,1394546692,-88,10.5,0,0,00800000a0000a1c,2021-10-18T07:46:38.75449Z,,3461699396.0,-95.0,-12.0,0.0,0.0,,,,,,,,
35,10,2,8,5,924400000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T07:17:56.312312Z,,1401949068,-88,6,0,0,00800000a0000a1c,2021-10-18T07:46:46.149131Z,,3469101788.0,-90.0,-11.0,0.0,0.0,,,,,,,,
36,10,2,9,1,924200000,LORA,125,11,0,4/5,00800000a000151a,2021-10-18T07:18:14.449444Z,,1420075084,-100,6.2,0,0,,,,,,,,,,,,,,,,
37,10,2,9,2,923800000,LORA,125,11,0,4/5,00800000a000151a,2021-10-18T07:18:28.490025Z,,1434122948,-102,2.8,0,0,,,,,,,,,,,,,,,,
38,10,2,9,3,923200000,LORA,125,11,0,4/5,00800000a0000a1c,2021-10-18T07:47:29.150611Z,,3512092268,-93,-10,0,0,00800000a0000ed1,2021-10-18T07:38:14.23996Z,,2534515620.0,-96.0,-13.0,0.0,0.0,,,,,,,,
39,10,2,9,4,923600000,LORA,125,11,0,4/5,00800000a0000a1c,2021-10-18T07:47:34.601259Z,,3517544364,-97,-10,0,0,,,,,,,,,,,,,,,,
40,10,2,9,5,923600000,LORA,125,11,0,4/5,00800000a000151a,2021-10-18T07:19:02.859443Z,,1468492676,-89,7.5,0,0,,,,,,,,,,,,,,,,
41,11,1,10,1,924400000,LORA,125,12,0,4/5,00800000a0000a1c,2021-10-18T07:38:55.227731Z,,2998149084,-96,-9.5,0,0,,,,,,,,,,,,,,,,
42,11,1,10,2,923400000,LORA,125,12,0,4/5,00800000a000151a,2021-10-18T07:10:12.932262Z,,938547780,-107,5.5,0,0,,,,,,,,,,,,,,,,
43,11,1,10,3,923800000,LORA,125,12,0,4/5,00800000a000151a,2021-10-18T07:10:24.164966Z,,949785476,-84,16.2,0,0,00800000a0000a1c,2021-10-18T07:39:14.014985Z,,3016937196.0,-97.0,-11.5,0.0,0.0,,,,,,,,
44,11,1,10,4,924600000,LORA,125,12,0,4/5,00800000a000151a,2021-10-18T07:10:31.587931Z,,957199556,-82,6,0,0,00800000a0000a1c,2021-10-18T07:39:21.41986Z,,3024351300.0,-93.0,-12.8,0.0,0.0,,,,,,,,
45,11,1,10,5,923600000,LORA,125,12,0,4/5,00800000a000151a,2021-10-18T07:10:42.654306Z,,968262364,-101,6.5,0,0,,,,,,,,,,,,,,,,
46,11,1,7,1,924200000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T07:08:00.888974Z,,806521356,-84,10.8,0,0,00800000a0000a1c,2021-10-18T07:36:50.723482Z,,2873672748.0,-93.0,-11.8,0.0,0.0,,,,,,,,
47,11,1,7,2,923600000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T07:08:06.376049Z,,812006540,-81,8.2,0,0,,,,,,,,,,,,,,,,
48,11,1,7,3,924200000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T07:08:10.47085Z,,816100996,-81,10.5,0,0,,,,,,,,,,,,,,,,
49,11,1,7,4,923800000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T07:08:23.409286Z,,829043828,-87,11.8,0,0,,,,,,,,,,,,,,,,
50,11,1,7,5,923400000,LORA,125,9,0,4/5,00800000a0000a1c,2021-10-18T07:37:16.607426Z,,2899554484,-94,-13.5,0,0,,,,,,,,,,,,,,,,
51,11,1,8,1,924600000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T07:08:30.336048Z,,835976004,-82,8.8,0,0,00800000a0000a1c,2021-10-18T07:37:20.177352Z,,2903127468.0,-95.0,-14.5,0.0,0.0,,,,,,,,
52,11,1,8,2,924200000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T07:08:45.058686Z,,850697628,-83,11,0,0,,,,,,,,,,,,,,,,
53,11,1,8,3,923200000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T07:08:49.59002Z,,855223372,-84,10.8,0,0,00800000a0000a1c,2021-10-18T07:37:39.424612Z,,2922374876.0,-96.0,-13.5,0.0,0.0,,,,,,,,
54,11,1,8,4,924600000,LORA,125,10,0,4/5,00800000a0000a1c,2021-10-18T07:37:54.068101Z,,2937011292,-95,-15.8,0,0,,,,,,,,,,,,,,,,
55,11,1,8,5,924400000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T07:09:13.805173Z,,879437260,-78,9.2,0,0,,,,,,,,,,,,,,,,
56,11,1,9,1,924200000,LORA,125,11,0,4/5,00800000a000151a,2021-10-18T07:09:18.50111Z,,884128724,-83,11,0,0,,,,,,,,,,,,,,,,
57,11,1,9,2,923200000,LORA,125,11,0,4/5,00800000a000151a,2021-10-18T07:09:29.698368Z,,895331844,-86,10.2,0,0,00800000a0000a1c,2021-10-18T07:38:19.548348Z,,2962483436.0,-101.0,-13.8,0.0,0.0,,,,,,,,
58,11,1,9,3,923600000,LORA,125,11,0,4/5,00800000a000151a,2021-10-18T07:09:40.461927Z,,906088764,-84,8.8,0,0,00800000a0000a1c,2021-10-18T07:38:30.307738Z,,2973240380.0,-99.0,-10.8,0.0,0.0,,,,,,,,
59,11,1,9,4,923200000,LORA,125,11,0,4/5,00800000a000151a,2021-10-18T07:09:45.664732Z,,911288100,-84,10,0,0,00800000a0000a1c,2021-10-18T07:38:35.503487Z,,2978439724.0,-99.0,-10.2,0.0,0.0,,,,,,,,
60,11,1,9,5,924600000,LORA,125,11,0,4/5,00800000a0000a1c,2021-10-18T07:38:48.302975Z,,2991237572,-94,-11.5,0,0,00800000a0000ed1,2021-10-18T07:29:33.389372Z,,2013661028.0,-97.0,-13.5,0.0,0.0,,,,,,,,
61,11,2,10,1,924000000,LORA,125,12,0,4/5,00800000a000151a,2021-10-18T07:12:41.674057Z,,1087286980,-85,9.8,0,0,00800000a0000a1c,2021-10-18T07:41:31.516866Z,,3154439004.0,-95.0,-7.0,0.0,0.0,,,,,,,,
62,11,2,10,2,924600000,LORA,125,12,0,4/5,00800000a000151a,2021-10-18T07:12:52.597554Z,,1098212476,-103,6.8,0,0,00800000a0000ed1,2021-10-18T07:32:27.538124Z,,2187787948.0,-97.0,-9.5,0.0,0.0,00800000a0000a1c,2021-10-18T07:41:42.440569Z,,3165364524.0,-93.0,-11.2,0.0,0.0
63,11,2,10,3,923800000,LORA,125,12,0,4/5,00800000a000151a,2021-10-18T07:13:00.111311Z,,1105732116,-107,10.2,0,0,,,,,,,,,,,,,,,,
64,11,2,10,4,924200000,LORA,125,12,0,4/5,00800000a000151a,2021-10-18T07:13:11.030933Z,,1116639204,-84,7.8,0,0,00800000a0000a1c,2021-10-18T07:42:00.869739Z,,3183791292.0,-96.0,-11.0,0.0,0.0,,,,,,,,
65,11,2,10,5,923400000,LORA,125,12,0,4/5,00800000a000151a,2021-10-18T07:13:18.494816Z,,1124106068,-84,10.8,0,0,,,,,,,,,,,,,,,,
66,11,2,7,1,923400000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T07:10:53.936741Z,,979574684,-90,10.5,0,0,,,,,,,,,,,,,,,,
67,11,2,7,2,924600000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T07:10:57.101681Z,,982733324,-88,7.2,0,0,00800000a0000a1c,2021-10-18T07:39:46.930103Z,,3049885108.0,-93.0,-9.5,0.0,0.0,,,,,,,,
68,11,2,7,3,923200000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T07:11:04.992372Z,,990627452,-87,12,0,0,00800000a0000a1c,2021-10-18T07:39:54.824487Z,,3057779260.0,-101.0,-10.0,0.0,0.0,,,,,,,,
69,11,2,7,4,924600000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T07:11:09.99921Z,,995640844,-76,8.5,0,0,,,,,,,,,,,,,,,,
70,11,2,7,5,923200000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T07:11:16.427001Z,,1002068516,-85,11.8,0,0,,,,,,,,,,,,,,,,
71,11,2,8,1,924600000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T07:11:20.112684Z,,1005739932,-77,6,0,0,00800000a0000a1c,2021-10-18T07:40:09.944992Z,,3072891772.0,-95.0,-12.5,0.0,0.0,,,,,,,,
72,11,2,8,2,923800000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T07:11:26.811288Z,,1012444060,-78,10.8,0,0,,,,,,,,,,,,,,,,
73,11,2,8,3,924600000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T07:11:44.00756Z,,1029641100,-81,7.2,0,0,,,,,,,,,,,,,,,,
74,11,2,8,4,924000000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T07:11:56.120087Z,,1041760948,-80,10.5,0,0,00800000a0000a1c,2021-10-18T07:40:45.96161Z,,3108912876.0,-91.0,-14.5,0.0,0.0,,,,,,,,
75,11,2,8,5,923600000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T07:12:03.190328Z,,1048816580,-83,8.2,0,0,,,,,,,,,,,,,,,,
76,11,2,9,1,924000000,LORA,125,11,0,4/5,00800000a0000a1c,2021-10-18T07:40:58.362114Z,,3121305596,-96,-10.5,0,0,,,,,,,,,,,,,,,,
77,11,2,9,2,923600000,LORA,125,11,0,4/5,00800000a000151a,2021-10-18T07:12:13.572373Z,,1059198060,-77,9.5,0,0,,,,,,,,,,,,,,,,
78,11,2,9,3,924400000,LORA,125,11,0,4/5,00800000a0000a1c,2021-10-18T07:41:14.538492Z,,3137484452,-93,-10,0,0,,,,,,,,,,,,,,,,
79,11,2,9,4,923800000,LORA,125,11,0,4/5,00800000a000151a,2021-10-18T07:12:29.723812Z,,1075347436,-72,6.5,0,0,00800000a0000a1c,2021-10-18T07:41:19.560865Z,,3142499428.0,-96.0,-14.5,0.0,0.0,,,,,,,,
80,11,2,9,5,923400000,LORA,125,11,0,4/5,00800000a000151a,2021-10-18T07:12:34.72355Z,,1080348540,-85,10.2,0,0,,,,,,,,,,,,,,,,
81,29,1,10,1,924000000,LORA,125,12,0,4/5,00800000a000151a,2021-10-18T08:26:42.024489Z,,1232687588,-98,4.2,0,0,00800000a0000a1c,2021-10-18T08:55:31.881171Z,,3299849668.0,-93.0,-12.8,0.0,0.0,,,,,,,,
82,29,1,10,2,923400000,LORA,125,12,0,4/5,00800000a0000a1c,2021-10-18T08:55:49.872409Z,,3317845564,-93,-13.5,0,0,,,,,,,,,,,,,,,,
83,29,1,10,3,924400000,LORA,125,12,0,4/5,00800000a000151a,2021-10-18T08:27:07.68729Z,,1258359516,-101,-1,0,0,,,,,,,,,,,,,,,,
84,29,1,10,4,923400000,LORA,125,12,0,4/5,00800000a000151a,2021-10-18T08:27:15.083164Z,,1265747844,-93,6.2,0,0,00800000a0000a1c,2021-10-18T08:56:04.9408Z,,3332908580.0,-93.0,-8.2,0.0,0.0,,,,,,,,
85,29,1,10,5,924600000,LORA,125,12,0,4/5,00800000a0000a1c,2021-10-18T08:56:22.972169Z,,3350943932,-90,-13.2,0,0,,,,,,,,,,,,,,,,
86,29,1,7,1,923800000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T08:25:08.491481Z,,1139179548,-99,9.2,0,0,,,,,,,,,,,,,,,,
87,29,1,7,2,923400000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T08:25:11.695564Z,,1142386908,-97,10.2,0,0,,,,,,,,,,,,,,,,
88,29,1,7,3,924600000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T08:25:24.432983Z,,1155129540,-102,0.8,0,0,00800000a0000a1c,2021-10-18T08:54:14.292173Z,,3222291444.0,-93.0,-11.8,0.0,0.0,,,,,,,,
89,29,1,7,4,923600000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T08:25:28.43236Z,,1159117756,-97,5,0,0,,,,,,,,,,,,,,,,
90,29,1,7,5,923200000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T08:25:41.042982Z,,1171737796,-96,9,0,0,00800000a0000a1c,2021-10-18T08:54:30.899409Z,,3238899732.0,-97.0,-11.5,0.0,0.0,,,,,,,,
91,29,1,8,1,924600000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T08:25:45.367735Z,,1176058844,-96,6.2,0,0,00800000a0000ed1,2021-10-18T08:45:20.306675Z,,2265643468.0,-96.0,-16.2,0.0,0.0,,,,,,,,
92,29,1,8,2,923800000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T08:25:52.994598Z,,1183675092,-97,5.5,0,0,00800000a0000a1c,2021-10-18T08:54:42.840783Z,,3250837052.0,-96.0,-12.2,0.0,0.0,,,,,,,,
93,29,1,8,3,924600000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T08:25:59.26211Z,,1189953356,-102,-3.8,0,0,,,,,,,,,,,,,,,,
94,29,1,8,4,924200000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T08:26:03.027854Z,,1193708860,-105,-4.5,0,0,,,,,,,,,,,,,,,,
95,29,1,8,5,924000000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T08:26:07.271733Z,,1197959628,-98,6,0,0,,,,,,,,,,,,,,,,
96,29,1,9,1,924600000,LORA,125,11,0,4/5,00800000a000151a,2021-10-18T08:26:13.530662Z,,1204217996,-95,4,0,0,,,,,,,,,,,,,,,,
